Original
Iter:     1 | Cost: 1.0052075 | Acc train: 0.5233333 | Acc validation: 0.5500000 
Iter:     2 | Cost: 0.9769324 | Acc train: 0.5633333 | Acc validation: 0.5800000 
Iter:     3 | Cost: 0.9855970 | Acc train: 0.5433333 | Acc validation: 0.5500000 
Iter:     4 | Cost: 0.9883318 | Acc train: 0.5333333 | Acc validation: 0.5400000 
Iter:     5 | Cost: 0.9722889 | Acc train: 0.5566667 | Acc validation: 0.5300000 
Iter:     6 | Cost: 0.9969174 | Acc train: 0.5200000 | Acc validation: 0.5100000 
Iter:     7 | Cost: 0.9435822 | Acc train: 0.6100000 | Acc validation: 0.5700000 
Iter:     8 | Cost: 0.9705413 | Acc train: 0.5500000 | Acc validation: 0.5200000 
Iter:     9 | Cost: 0.9506256 | Acc train: 0.6200000 | Acc validation: 0.5100000 
Iter:    10 | Cost: 0.9437337 | Acc train: 0.6500000 | Acc validation: 0.6200000 
Iter:    11 | Cost: 0.9498963 | Acc train: 0.6233333 | Acc validation: 0.5400000 
Iter:    12 | Cost: 0.9603085 | Acc train: 0.6166667 | Acc validation: 0.5900000 
Iter:    13 | Cost: 0.9700426 | Acc train: 0.5666667 | Acc validation: 0.6000000 
Iter:    14 | Cost: 0.9558943 | Acc train: 0.5833333 | Acc validation: 0.6300000 
Iter:    15 | Cost: 1.0073645 | Acc train: 0.5233333 | Acc validation: 0.5100000 
Iter:    16 | Cost: 1.0097459 | Acc train: 0.5066667 | Acc validation: 0.5100000 
Iter:    17 | Cost: 0.9663200 | Acc train: 0.5633333 | Acc validation: 0.6300000 
Iter:    18 | Cost: 0.9780146 | Acc train: 0.5266667 | Acc validation: 0.5200000 
Iter:    19 | Cost: 0.9504410 | Acc train: 0.5633333 | Acc validation: 0.6400000 
Iter:    20 | Cost: 0.9569667 | Acc train: 0.6000000 | Acc validation: 0.5500000 
Iter:    21 | Cost: 0.9604484 | Acc train: 0.5533333 | Acc validation: 0.6100000 
Iter:    22 | Cost: 0.9607312 | Acc train: 0.5900000 | Acc validation: 0.5400000 
Iter:    23 | Cost: 0.9580671 | Acc train: 0.5933333 | Acc validation: 0.6500000 
Iter:    24 | Cost: 0.9668677 | Acc train: 0.5466667 | Acc validation: 0.6500000 
Iter:    25 | Cost: 0.9654299 | Acc train: 0.5466667 | Acc validation: 0.5800000 
Iter:    26 | Cost: 0.9771018 | Acc train: 0.5500000 | Acc validation: 0.6200000 
Iter:    27 | Cost: 1.0200432 | Acc train: 0.5066667 | Acc validation: 0.5100000 
Iter:    28 | Cost: 1.0414659 | Acc train: 0.5033333 | Acc validation: 0.5200000 
Iter:    29 | Cost: 0.9874678 | Acc train: 0.5600000 | Acc validation: 0.6200000 
Iter:    30 | Cost: 0.9883997 | Acc train: 0.5233333 | Acc validation: 0.5900000 
Iter:    31 | Cost: 0.9896007 | Acc train: 0.5433333 | Acc validation: 0.6100000 
Iter:    32 | Cost: 0.9903661 | Acc train: 0.5166667 | Acc validation: 0.5300000 
Iter:    33 | Cost: 1.0030384 | Acc train: 0.5200000 | Acc validation: 0.5400000 
Iter:    34 | Cost: 1.0180243 | Acc train: 0.5066667 | Acc validation: 0.5400000 
Iter:    35 | Cost: 1.0470694 | Acc train: 0.5066667 | Acc validation: 0.5200000 
Iter:    36 | Cost: 1.1121223 | Acc train: 0.5000000 | Acc validation: 0.5000000 
Iter:    37 | Cost: 1.0741693 | Acc train: 0.5000000 | Acc validation: 0.5000000 
Iter:    38 | Cost: 1.0215233 | Acc train: 0.5100000 | Acc validation: 0.5200000 
Iter:    39 | Cost: 0.9819750 | Acc train: 0.5533333 | Acc validation: 0.5700000 
Iter:    40 | Cost: 0.9620238 | Acc train: 0.6000000 | Acc validation: 0.5700000 
Iter:    41 | Cost: 0.9583126 | Acc train: 0.5833333 | Acc validation: 0.5900000 
Iter:    42 | Cost: 0.9578317 | Acc train: 0.5733333 | Acc validation: 0.5700000 
Iter:    43 | Cost: 0.9594738 | Acc train: 0.5433333 | Acc validation: 0.5700000 
Iter:    44 | Cost: 0.9305614 | Acc train: 0.6333333 | Acc validation: 0.6400000 
Iter:    45 | Cost: 0.9255761 | Acc train: 0.6666667 | Acc validation: 0.6400000 
Iter:    46 | Cost: 0.9425482 | Acc train: 0.5700000 | Acc validation: 0.5800000 
Iter:    47 | Cost: 0.9232084 | Acc train: 0.6666667 | Acc validation: 0.6200000 
Iter:    48 | Cost: 0.9240552 | Acc train: 0.6200000 | Acc validation: 0.6100000 
Iter:    49 | Cost: 0.9212025 | Acc train: 0.6233333 | Acc validation: 0.5900000 
Iter:    50 | Cost: 0.9064110 | Acc train: 0.6866667 | Acc validation: 0.6900000 
Iter:    51 | Cost: 0.9141891 | Acc train: 0.6533333 | Acc validation: 0.6400000 
Iter:    52 | Cost: 0.8977635 | Acc train: 0.7166667 | Acc validation: 0.7300000 
Iter:    53 | Cost: 0.9079650 | Acc train: 0.6200000 | Acc validation: 0.6100000 
Iter:    54 | Cost: 0.8985734 | Acc train: 0.7100000 | Acc validation: 0.6600000 
Iter:    55 | Cost: 0.9025920 | Acc train: 0.6333333 | Acc validation: 0.6100000 
Iter:    56 | Cost: 0.9079559 | Acc train: 0.5866667 | Acc validation: 0.5600000 
Iter:    57 | Cost: 0.9265065 | Acc train: 0.5400000 | Acc validation: 0.5300000 
Iter:    58 | Cost: 0.9224651 | Acc train: 0.5466667 | Acc validation: 0.5400000 
Iter:    59 | Cost: 0.8803120 | Acc train: 0.7033333 | Acc validation: 0.5900000 
Iter:    60 | Cost: 0.9192501 | Acc train: 0.5633333 | Acc validation: 0.5500000 
Iter:    61 | Cost: 0.9300284 | Acc train: 0.5700000 | Acc validation: 0.5200000 
Iter:    62 | Cost: 1.0019237 | Acc train: 0.5033333 | Acc validation: 0.5100000 
Iter:    63 | Cost: 1.0005520 | Acc train: 0.5100000 | Acc validation: 0.5200000 
Iter:    64 | Cost: 0.9638549 | Acc train: 0.5466667 | Acc validation: 0.5200000 
Iter:    65 | Cost: 0.9253008 | Acc train: 0.6233333 | Acc validation: 0.5400000 
Iter:    66 | Cost: 0.9559787 | Acc train: 0.5466667 | Acc validation: 0.5200000 
Iter:    67 | Cost: 0.9308761 | Acc train: 0.5966667 | Acc validation: 0.5800000 
Iter:    68 | Cost: 0.9419489 | Acc train: 0.5966667 | Acc validation: 0.5500000 
Iter:    69 | Cost: 0.9158271 | Acc train: 0.6500000 | Acc validation: 0.6400000 
Iter:    70 | Cost: 0.9098426 | Acc train: 0.6600000 | Acc validation: 0.6300000 
Iter:    71 | Cost: 0.9061988 | Acc train: 0.6800000 | Acc validation: 0.6100000 
Iter:    72 | Cost: 0.9217287 | Acc train: 0.6200000 | Acc validation: 0.5300000 
Iter:    73 | Cost: 0.9068991 | Acc train: 0.6600000 | Acc validation: 0.5800000 
Iter:    74 | Cost: 0.9048295 | Acc train: 0.7066667 | Acc validation: 0.6200000 
Iter:    75 | Cost: 0.9134553 | Acc train: 0.6500000 | Acc validation: 0.6200000 
Iter:    76 | Cost: 0.9506554 | Acc train: 0.5533333 | Acc validation: 0.5200000 
Iter:    77 | Cost: 0.9147459 | Acc train: 0.6666667 | Acc validation: 0.6100000 
Iter:    78 | Cost: 0.9305896 | Acc train: 0.6266667 | Acc validation: 0.5700000 
Iter:    79 | Cost: 0.9198007 | Acc train: 0.6900000 | Acc validation: 0.5900000 
Iter:    80 | Cost: 0.9513538 | Acc train: 0.5500000 | Acc validation: 0.5600000 
6364.070317029953
DDSIM
Iter:     1 | Cost: 1.0052075 | Acc train: 0.5233333 | Acc validation: 0.5500000 
Iter:     2 | Cost: 0.9769324 | Acc train: 0.5633333 | Acc validation: 0.5800000 
Iter:     3 | Cost: 0.9855970 | Acc train: 0.5433333 | Acc validation: 0.5500000 
Iter:     4 | Cost: 0.9883318 | Acc train: 0.5333333 | Acc validation: 0.5400000 
Iter:     5 | Cost: 0.9722889 | Acc train: 0.5566667 | Acc validation: 0.5300000 
Iter:     6 | Cost: 0.9969174 | Acc train: 0.5200000 | Acc validation: 0.5100000 
Iter:     7 | Cost: 0.9435822 | Acc train: 0.6100000 | Acc validation: 0.5700000 
Iter:     8 | Cost: 0.9705413 | Acc train: 0.5500000 | Acc validation: 0.5200000 
Iter:     9 | Cost: 0.9506256 | Acc train: 0.6200000 | Acc validation: 0.5100000 
Iter:    10 | Cost: 0.9437337 | Acc train: 0.6500000 | Acc validation: 0.6200000 
Iter:    11 | Cost: 0.9498963 | Acc train: 0.6233333 | Acc validation: 0.5400000 
Iter:    12 | Cost: 0.9603085 | Acc train: 0.6166667 | Acc validation: 0.5900000 
Iter:    13 | Cost: 0.9700426 | Acc train: 0.5666667 | Acc validation: 0.6000000 
Iter:    14 | Cost: 0.9558943 | Acc train: 0.5833333 | Acc validation: 0.6300000 
Iter:    15 | Cost: 1.0073645 | Acc train: 0.5233333 | Acc validation: 0.5100000 
Iter:    16 | Cost: 1.0097459 | Acc train: 0.5066667 | Acc validation: 0.5100000 
Iter:    17 | Cost: 0.9663200 | Acc train: 0.5633333 | Acc validation: 0.6300000 
Iter:    18 | Cost: 0.9780146 | Acc train: 0.5266667 | Acc validation: 0.5200000 
Iter:    19 | Cost: 0.9504410 | Acc train: 0.5633333 | Acc validation: 0.6400000 
Iter:    20 | Cost: 0.9569667 | Acc train: 0.6000000 | Acc validation: 0.5500000 
Iter:    21 | Cost: 0.9604484 | Acc train: 0.5533333 | Acc validation: 0.6100000 
Iter:    22 | Cost: 0.9607312 | Acc train: 0.5900000 | Acc validation: 0.5400000 
Iter:    23 | Cost: 0.9580671 | Acc train: 0.5933333 | Acc validation: 0.6500000 
Iter:    24 | Cost: 0.9668677 | Acc train: 0.5466667 | Acc validation: 0.6500000 
Iter:    25 | Cost: 0.9654299 | Acc train: 0.5466667 | Acc validation: 0.5800000 
Iter:    26 | Cost: 0.9771018 | Acc train: 0.5500000 | Acc validation: 0.6200000 
Iter:    27 | Cost: 1.0200432 | Acc train: 0.5066667 | Acc validation: 0.5100000 
Iter:    28 | Cost: 1.0414659 | Acc train: 0.5033333 | Acc validation: 0.5200000 
Iter:    29 | Cost: 0.9874678 | Acc train: 0.5600000 | Acc validation: 0.6200000 
Iter:    30 | Cost: 0.9883997 | Acc train: 0.5233333 | Acc validation: 0.5900000 
Iter:    31 | Cost: 0.9896007 | Acc train: 0.5433333 | Acc validation: 0.6100000 
Iter:    32 | Cost: 0.9903661 | Acc train: 0.5166667 | Acc validation: 0.5300000 
Iter:    33 | Cost: 1.0030384 | Acc train: 0.5200000 | Acc validation: 0.5400000 
Iter:    34 | Cost: 1.0180243 | Acc train: 0.5066667 | Acc validation: 0.5400000 
Iter:    35 | Cost: 1.0470694 | Acc train: 0.5066667 | Acc validation: 0.5200000 
Iter:    36 | Cost: 1.1121223 | Acc train: 0.5000000 | Acc validation: 0.5000000 
Iter:    37 | Cost: 1.0741693 | Acc train: 0.5000000 | Acc validation: 0.5000000 
Iter:    38 | Cost: 1.0215233 | Acc train: 0.5100000 | Acc validation: 0.5200000 
Iter:    39 | Cost: 0.9819750 | Acc train: 0.5533333 | Acc validation: 0.5700000 
Iter:    40 | Cost: 0.9620238 | Acc train: 0.6000000 | Acc validation: 0.5700000 
Iter:    41 | Cost: 0.9583126 | Acc train: 0.5833333 | Acc validation: 0.5900000 
Iter:    42 | Cost: 0.9578317 | Acc train: 0.5733333 | Acc validation: 0.5700000 
Iter:    43 | Cost: 0.9594738 | Acc train: 0.5433333 | Acc validation: 0.5700000 
Iter:    44 | Cost: 0.9305614 | Acc train: 0.6333333 | Acc validation: 0.6400000 
Iter:    45 | Cost: 0.9255761 | Acc train: 0.6666667 | Acc validation: 0.6400000 
Iter:    46 | Cost: 0.9425482 | Acc train: 0.5700000 | Acc validation: 0.5800000 
Iter:    47 | Cost: 0.9232084 | Acc train: 0.6666667 | Acc validation: 0.6200000 
Iter:    48 | Cost: 0.9240552 | Acc train: 0.6200000 | Acc validation: 0.6100000 
Iter:    49 | Cost: 0.9212025 | Acc train: 0.6233333 | Acc validation: 0.5900000 
Iter:    50 | Cost: 0.9064110 | Acc train: 0.6866667 | Acc validation: 0.6900000 
Iter:    51 | Cost: 0.9141891 | Acc train: 0.6533333 | Acc validation: 0.6400000 
Iter:    52 | Cost: 0.8977635 | Acc train: 0.7166667 | Acc validation: 0.7300000 
Iter:    53 | Cost: 0.9079650 | Acc train: 0.6200000 | Acc validation: 0.6100000 
Iter:    54 | Cost: 0.8985734 | Acc train: 0.7100000 | Acc validation: 0.6600000 
Iter:    55 | Cost: 0.9025920 | Acc train: 0.6333333 | Acc validation: 0.6100000 
Iter:    56 | Cost: 0.9079559 | Acc train: 0.5866667 | Acc validation: 0.5600000 
Iter:    57 | Cost: 0.9265065 | Acc train: 0.5400000 | Acc validation: 0.5300000 
Iter:    58 | Cost: 0.9224651 | Acc train: 0.5466667 | Acc validation: 0.5400000 
Iter:    59 | Cost: 0.8803120 | Acc train: 0.7033333 | Acc validation: 0.5900000 
Iter:    60 | Cost: 0.9192501 | Acc train: 0.5633333 | Acc validation: 0.5500000 
Iter:    61 | Cost: 0.9300284 | Acc train: 0.5700000 | Acc validation: 0.5200000 
Iter:    62 | Cost: 1.0019237 | Acc train: 0.5033333 | Acc validation: 0.5100000 
Iter:    63 | Cost: 1.0005520 | Acc train: 0.5100000 | Acc validation: 0.5200000 
Iter:    64 | Cost: 0.9638549 | Acc train: 0.5466667 | Acc validation: 0.5200000 
Iter:    65 | Cost: 0.9253008 | Acc train: 0.6233333 | Acc validation: 0.5400000 
Iter:    66 | Cost: 0.9559787 | Acc train: 0.5466667 | Acc validation: 0.5200000 
Iter:    67 | Cost: 0.9308761 | Acc train: 0.5966667 | Acc validation: 0.5800000 
Iter:    68 | Cost: 0.9419489 | Acc train: 0.5966667 | Acc validation: 0.5500000 
Iter:    69 | Cost: 0.9158271 | Acc train: 0.6500000 | Acc validation: 0.6400000 
Iter:    70 | Cost: 0.9098426 | Acc train: 0.6600000 | Acc validation: 0.6300000 
Iter:    71 | Cost: 0.9061988 | Acc train: 0.6800000 | Acc validation: 0.6100000 
Iter:    72 | Cost: 0.9217287 | Acc train: 0.6200000 | Acc validation: 0.5300000 
Iter:    73 | Cost: 0.9068991 | Acc train: 0.6600000 | Acc validation: 0.5800000 
Iter:    74 | Cost: 0.9048295 | Acc train: 0.7066667 | Acc validation: 0.6200000 
Iter:    75 | Cost: 0.9134553 | Acc train: 0.6500000 | Acc validation: 0.6200000 
Iter:    76 | Cost: 0.9506554 | Acc train: 0.5533333 | Acc validation: 0.5200000 
Iter:    77 | Cost: 0.9147459 | Acc train: 0.6666667 | Acc validation: 0.6100000 
Iter:    78 | Cost: 0.9305896 | Acc train: 0.6266667 | Acc validation: 0.5700000 
Iter:    79 | Cost: 0.9198007 | Acc train: 0.6900000 | Acc validation: 0.5900000 
Iter:    80 | Cost: 0.9513538 | Acc train: 0.5500000 | Acc validation: 0.5600000 
16276.286216497421
