16
Iter:    69 | Cost: 0.1933130 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    70 | Cost: 0.4743255 | Acc train: 0.9333333 | Acc validation: 0.8800000 
Iter:    71 | Cost: 0.4822432 | Acc train: 0.9066667 | Acc validation: 0.9200000 
Iter:    72 | Cost: 0.4959647 | Acc train: 0.9333333 | Acc validation: 0.9600000 
Iter:    73 | Cost: 0.8440565 | Acc train: 0.5333333 | Acc validation: 0.6000000 
Iter:    74 | Cost: 0.6745453 | Acc train: 0.6800000 | Acc validation: 0.5600000 
Iter:    75 | Cost: 0.3570311 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    76 | Cost: 0.2092077 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    77 | Cost: 0.2152924 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    78 | Cost: 0.3761246 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    79 | Cost: 0.2307378 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    80 | Cost: 0.4488041 | Acc train: 0.8800000 | Acc validation: 0.9200000 
567.8081612586975
32
Iter:     1 | Cost: 0.4981012 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     2 | Cost: 0.4157278 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     3 | Cost: 0.3681669 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     4 | Cost: 0.3457634 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     5 | Cost: 0.3385258 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     6 | Cost: 0.3134858 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     7 | Cost: 0.2861652 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     8 | Cost: 0.3026030 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:     9 | Cost: 0.2545156 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    10 | Cost: 0.2660705 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    11 | Cost: 0.2364045 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    12 | Cost: 0.1962311 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    13 | Cost: 0.1822294 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    14 | Cost: 0.1622028 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    15 | Cost: 0.1467158 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    16 | Cost: 0.1113274 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    17 | Cost: 0.2581304 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    18 | Cost: 0.1912125 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    19 | Cost: 0.1200873 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    20 | Cost: 0.1046499 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    21 | Cost: 0.0825503 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    22 | Cost: 0.1559507 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    23 | Cost: 0.1054119 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    24 | Cost: 0.3314740 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    25 | Cost: 0.2499036 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    26 | Cost: 0.1809520 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    27 | Cost: 0.1389506 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    28 | Cost: 0.1073565 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    29 | Cost: 0.2035139 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    30 | Cost: 0.1664245 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    31 | Cost: 0.1510325 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    32 | Cost: 0.1820280 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    33 | Cost: 0.1982095 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    34 | Cost: 0.2109054 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    35 | Cost: 0.1724296 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    36 | Cost: 0.2889653 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    37 | Cost: 0.1911634 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    38 | Cost: 0.1220350 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    39 | Cost: 0.3842347 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    40 | Cost: 0.2887677 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    41 | Cost: 0.1963934 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    42 | Cost: 0.2452133 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    43 | Cost: 0.1899968 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    44 | Cost: 0.1718323 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    45 | Cost: 0.1432062 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    46 | Cost: 0.1159229 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    47 | Cost: 0.0907526 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    48 | Cost: 0.2111255 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    49 | Cost: 0.1088313 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    50 | Cost: 0.1295033 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    51 | Cost: 0.1083012 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    52 | Cost: 0.1262240 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    53 | Cost: 0.0931206 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    54 | Cost: 0.3327019 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    55 | Cost: 0.1643036 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    56 | Cost: 0.1190343 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    57 | Cost: 0.1864784 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    58 | Cost: 0.2026657 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    59 | Cost: 0.1312289 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    60 | Cost: 0.1238965 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    61 | Cost: 0.1054896 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    62 | Cost: 0.1501991 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    63 | Cost: 0.1875672 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    64 | Cost: 0.1595681 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    65 | Cost: 0.1739878 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    66 | Cost: 0.2117653 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    67 | Cost: 0.1716236 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    68 | Cost: 0.2672955 | Acc train: 0.9733333 | Acc validation: 1.0000000 
Iter:    69 | Cost: 0.1979008 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    70 | Cost: 0.2291976 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    71 | Cost: 0.2697138 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    72 | Cost: 0.2114770 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    73 | Cost: 0.3089215 | Acc train: 0.9600000 | Acc validation: 0.9600000 
Iter:    74 | Cost: 0.2294110 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    75 | Cost: 0.1840637 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    76 | Cost: 0.2274505 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    77 | Cost: 0.1460763 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    78 | Cost: 0.2927800 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    79 | Cost: 0.1568169 | Acc train: 1.0000000 | Acc validation: 1.0000000 
Iter:    80 | Cost: 0.1195768 | Acc train: 1.0000000 | Acc validation: 1.0000000 
569.5828714370728
64
Iter:     1 | Cost: 0.6226347 | Acc train: 0.8000000 | Acc validation: 0.8000000 
Iter:     2 | Cost: 0.4942970 | Acc train: 0.9733333 | Acc validation: 0.9600000 
Iter:     3 | Cost: 0.4267200 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     4 | Cost: 0.3804388 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     5 | Cost: 0.3627982 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     6 | Cost: 0.3640210 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     7 | Cost: 0.3699297 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     8 | Cost: 0.3980521 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:     9 | Cost: 0.3384662 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    10 | Cost: 0.3406749 | Acc train: 0.9866667 | Acc validation: 1.0000000 
Iter:    11 | Cost: 0.2974106 | Acc train: 0.9866667 | Acc validation: 1.0000000 
